model,na,nb,nk,alpha,physical_memory_seconds,input_delay_seconds,input_memory_seconds,n_params,val_FIT_1step,val_FIT_sim,val_block_FIT_sim,val_block_mean_FIT_sim,val_block_std_FIT_sim,val_robust_score
ARX_na6_nb9_nk3_alpha1,6,9,3,1.0,120,60,180,160,97.51319101229873,76.29122999032283,"[60.035234233144074, 64.75545801341995, 81.63150698205143, 89.3580339511768]",73.94505829494807,11.985129022705339,67.9524937835954
ARX_na24_nb9_nk1_alpha0.01,24,9,1,0.01,480,20,180,178,97.5378060323911,75.54709376868409,"[57.98166441959852, 67.84406348218269, 80.33419963383085, 89.4492457843958]",73.90229333000197,11.971275236082812,67.91665571196056
ARX_na12_nb9_nk1_alpha0.01,12,9,1,0.01,240,20,180,166,97.53592817422502,75.84690077433451,"[58.578692261279095, 66.8762617464899, 80.64761718101654, 89.26934954226112]",73.84298018276166,11.893376389969445,67.89629198777695
ARX_na24_nb9_nk1_alpha0.1,24,9,1,0.1,480,20,180,178,97.53785728781179,75.50456450933336,"[57.88061014983854, 67.81580964388013, 80.31510951556768, 89.45613695206444]",73.8669165653377,12.008131332293898,67.86285089919076
ARX_na12_nb9_nk1_alpha0.1,12,9,1,0.1,240,20,180,166,97.53599549282114,75.80025070859196,"[58.46583196170566, 66.85030688228304, 80.62820928898104, 89.27795749341409]",73.80557640659596,11.933423961021294,67.83886442608531
ARX_na24_nb9_nk1_alpha1,24,9,1,1.0,480,20,180,178,97.53687159234485,75.24253168617172,"[57.236007945265534, 67.67035919860109, 80.19064155348427, 89.47492477330952]",73.6429833676651,12.230936987473548,67.52751487392833
ARX_na12_nb9_nk1_alpha1,12,9,1,1.0,240,20,180,166,97.53513472387702,75.48960477053241,"[57.69349349487229, 66.67279283883674, 80.498291696178, 89.31058261557293]",73.543790161365,12.20040311335864,67.44358860468567
ARX_na18_nb3_nk1_alpha0.1,18,3,1,0.1,360,20,60,70,97.31582811857587,75.29130396801627,"[59.54119725039475, 65.80985817612948, 79.24603096616075, 83.61613768349237]",72.05330601904433,9.759199186805095,67.17370642564178
ARX_na18_nb3_nk1_alpha0.01,18,3,1,0.01,360,20,60,70,97.3160790761441,75.24977792301402,"[59.353412472412145, 65.94783213336983, 79.2312784880389, 83.70637224524515]",72.05972383476652,9.821929341388008,67.14875916407252
ARX_na18_nb3_nk1_alpha1,18,3,1,1.0,360,20,60,70,97.31233562589745,75.47946856851816,"[60.74157939045094, 64.43811505111448, 79.2889611145173, 82.7648183345643]",71.80836847266175,9.391452442749971,67.11264225128677
ARX_na6_nb3_nk2_alpha0.01,6,3,2,0.01,120,40,60,58,97.35923804023733,75.41124949555044,"[58.90793268397794, 64.2728145946979, 80.80104098411691, 84.33239814124816]",72.07854660101023,10.731184801076397,66.71295420047203
ARX_na6_nb3_nk2_alpha0.1,6,3,2,0.1,120,40,60,58,97.3590473014339,75.41366078419891,"[58.92561426887368, 64.27158691560113, 80.77309812712905, 84.24320657259713]",72.05337647105026,10.694857324740951,66.70594780867978
