rank,na,nb,nk,order,n_params,rank_x_train,sigma2_train,val_FIT_1step,val_FIT_12step,val_FIT_sim,val_RMSE_sim,test_FIT_1step,test_FIT_12step,test_FIT_sim,test_RMSE_sim,test_Bias_sim
43,4,5,1,"(4,5,1)",85,80,0.00555530806430783,91.63413745224426,72.53397476424395,49.3051606462492,1.5220125321152567,91.34437641646352,72.60073968561096,52.539758826713204,1.3824557351381708,-0.5529858981345576
44,4,4,1,"(4,4,1)",69,65,0.0055558868233512426,91.63314680407257,72.51478479970088,49.00702678588308,1.5309376742095349,91.34582647529035,72.60895158146603,52.67510193463367,1.3784808632404861,-0.5377425125279298
45,4,3,1,"(4,3,1)",53,50,0.0055552160907254506,91.63482061645637,72.51069515847661,48.98758137280047,1.5315214745569619,91.3452606239732,72.59867764335726,52.77993896423918,1.3754271675120653,-0.5292662909129858
46,2,4,1,"(2,4,1)",67,63,0.005555757035341812,91.63310572776955,72.5142508669594,48.97283030570874,1.5319643387973092,91.34589150601865,72.60851879933792,52.641529822750414,1.3794587525896767,-0.5386971591509933
47,4,2,1,"(4,2,1)",37,35,0.005555232615604027,91.63565543715691,72.47412083304864,48.939379653112425,1.5329686117600083,91.34635096461223,72.58627650467785,53.00329962057074,1.368921112497882,-0.5155930505602893
48,3,4,1,"(3,4,1)",68,64,0.005555808161920153,91.63315525677072,72.51453551082669,48.92390728458512,1.5334331312887723,91.3458575924869,72.61148939469659,52.59508604007856,1.3808115683007895,-0.5393299574877644
49,2,3,1,"(2,3,1)",51,48,0.005554996891022034,91.63476790491674,72.50945212263542,48.88977187258578,1.5344227349061497,91.34529640043748,72.60092102845205,52.684954479508846,1.378162138508921,-0.5310697382236952
50,3,3,1,"(3,3,1)",52,49,0.005555081810886042,91.63477329901309,72.50831000422787,48.832749338692835,1.5361346558975641,91.34525928946911,72.60115138566286,52.62572272916752,1.3798874027418948,-0.5323872924084594
51,3,2,1,"(3,2,1)",36,34,0.005555088026096942,91.63560329322848,72.4719589988421,48.80907476779923,1.536845409911961,91.34635281418693,72.58866079072149,52.877743080235874,1.3725467164516176,-0.5179960285956772
52,2,2,1,"(2,2,1)",35,33,0.005555096475790116,91.63451524776328,72.47239740075202,48.73863804125443,1.5389234876847282,91.34610603655283,72.58710935233941,52.735885882363064,1.3766491404554022,-0.523058259575977
53,1,4,3,"(1,4,3)",66,62,0.06487787476422008,71.43442311608878,47.633231915820005,48.736220330011406,1.5391133470791174,70.71683981121525,42.90651563922925,44.26291437023334,1.6235873572051411,0.01579623561366541
54,5,1,1,"(5,1,1)",22,21,0.014187279759511838,86.73532026331642,68.99672295704534,47.079570115315136,1.5888314967795183,86.36817977587769,68.67575281172745,53.51819309000664,1.3539552044770027,-0.4715366452144817
55,1,1,4,"(1,1,4)",18,17,0.10210406241022789,64.12050963564431,30.901672219535193,31.237985369727316,2.0644091159385183,63.5645888011905,27.150607831845043,27.70533817521067,2.1058007922651236,-0.002829119730601775
56,1,2,4,"(1,2,4)",34,32,0.097425357942842,64.94324690526116,27.698531802284478,29.470669909343037,2.117503983602845,64.35074741092693,23.087841804105324,25.350442194377397,2.1744455308836015,-0.011662818383560394
57,5,2,4,"(5,2,4)",38,36,0.03519854166443347,79.05546769836472,29.872175783194265,29.441097830702102,2.118391826919166,78.27931687040348,25.082270743148893,24.619869086664924,2.195726185126532,-0.028315279216462645
