dataset,model,na,nb,nk,alpha,n_params,val_FIT_1step,val_FIT_sim,val_robust_score,val_block_mean_FIT_sim,val_block_std_FIT_sim,val_block_FIT_sim
new_identifiable_data,ARX_na8_nb2_nk1_alpha0.1,8,2,1,0.1,41,96.88485909669994,86.79232038059669,81.27860981720609,82.79972768639693,3.0422357383816867,"[79.4733964510333, 84.59700536844305, 86.84732499331801, 80.28118393279338]"
new_identifiable_data,ARX_na8_nb2_nk1_alpha0.001,8,2,1,0.001,41,96.88510375031876,86.79156897398306,81.27795605769317,82.79833718073277,3.0407622460791934,"[79.47810173312659, 84.59189638927079, 86.84639385116148, 80.27695674937223]"
new_identifiable_data,ARX_na8_nb2_nk1_alpha0,8,2,1,0.0,41,96.88510678239773,86.7914870439916,81.27782219743605,82.79821576984854,3.040787144824971,"[79.47817081025828, 84.59165188005439, 86.8464225474221, 80.2766178416594]"
new_identifiable_data,ARX_na3_nb1_nk2_alpha0,3,1,2,0.0,20,96.88467139678535,86.74076753655606,81.2607814451254,82.73005644813685,2.9385500060229037,"[79.46726696685518, 84.50305408118649, 86.60873992648315, 80.34116481802252]"
new_identifiable_data,ARX_na3_nb1_nk2_alpha0.001,3,1,2,0.001,20,96.88466999289508,86.74071339684957,81.260711539597,82.72999529932173,2.9385675194494625,"[79.4671637794019, 84.50297579807906, 86.60871713835732, 80.34112448144863]"
new_identifiable_data,ARX_na3_nb1_nk2_alpha0.01,3,1,2,0.01,20,96.8846570933325,86.74022684995947,81.26008325356044,82.72944573365513,2.9387249601893837,"[79.46623648441557, 84.50227235339045, 86.60851232890514, 80.34076176790931]"
new_identifiable_data,ARX_na3_nb1_nk2_alpha0.1,3,1,2,0.1,20,96.88450238156764,86.73543148957596,81.25388565505617,82.72402655241898,2.9402817947256157,"[79.45710035471795, 84.49534671359065, 86.60649283224218, 80.33716630912512]"
new_identifiable_data,ARX_na5_nb2_nk1_alpha0.01,5,2,1,0.01,38,96.88495546377605,86.74578571889023,81.21899008581781,82.74011145340125,3.0422427351668966,"[79.4168873545089, 84.51344652452374, 86.80377530416872, 80.22633663040361]"
new_identifiable_data,ARX_na5_nb2_nk1_alpha0.1,5,2,1,0.1,38,96.88473825418626,86.74587403135673,81.21869111571446,82.74053721517215,3.043692198915375,"[79.4127303960638, 84.51619852627636, 86.80480093465115, 80.22841900369731]"
new_identifiable_data,ARX_na5_nb2_nk1_alpha0.001,5,2,1,0.001,38,96.88498270350618,86.7452818887823,81.21817641685261,82.73935728674812,3.042361739790997,"[79.41740771287074, 84.51194360475559, 86.8038858220243, 80.22419200734187]"
new_identifiable_data,ARX_na5_nb2_nk1_alpha0,5,2,1,0.0,38,96.88498573859341,86.7451986358063,81.21804025443726,82.73923427046549,3.042388032056473,"[79.41746811380537, 84.51171344548773, 86.80390373756829, 80.2238517850005]"
new_identifiable_data,ARX_na3_nb2_nk1_alpha0.01,3,2,1,0.01,36,96.8850109171302,86.69921574626125,81.16968992880724,82.68301640596577,3.0266529543170697,"[79.35665018576, 84.44319702928432, 86.72594782801671, 80.20627058080203]"
new_identifiable_data,ARX_na3_nb2_nk1_alpha0.001,3,2,1,0.001,36,96.88503724054772,86.69910389755321,81.16933750945259,82.68272501395282,3.026775009000457,"[79.35767666199682, 84.4423981193374, 86.72638427223404, 80.20444100224304]"
