dataset,model,na,nb,nk,alpha,n_params,val_FIT_1step,val_FIT_sim,val_robust_score,val_block_mean_FIT_sim,val_block_std_FIT_sim,val_block_FIT_sim
old_feedback_data,ARX_na2_nb3_nk2_alpha0.001,2,3,2,0.001,51,85.60373938771299,68.04667292742197,65.5172698656751,65.99717437778506,0.9598090242199139,"[65.58562172574642, 67.62636295319678, 65.63328888771004, 65.14342394448695]"
old_feedback_data,ARX_na2_nb3_nk2_alpha0,2,3,2,0.0,51,85.60373677268555,68.04666686186935,65.51726004620419,65.99716790286354,0.9598157133187143,"[65.58560624040754, 67.62636636278741, 65.6332928700719, 65.1434061381873]"
old_feedback_data,ARX_na3_nb2_nk2_alpha0.1,3,2,2,0.1,36,85.61923068043083,67.91063684509768,65.36658205314329,65.84298306127901,0.9528020162714557,"[65.4485426669059, 67.45566176603886, 65.49169971517517, 64.9760280969961]"
old_feedback_data,ARX_na3_nb2_nk2_alpha0.01,3,2,2,0.01,36,85.61907491945209,67.91057817316161,65.36628742068095,65.84292730782278,0.9532797742836471,"[65.44726567454107, 67.4560973251174, 65.4939233293993, 64.97442290223336]"
old_feedback_data,ARX_na3_nb2_nk2_alpha0.001,3,2,2,0.001,36,85.61905467048685,67.91059261853107,65.36627545701069,65.84294342346224,0.9533359329031151,"[65.44713815570996, 67.45617177687723, 65.49420359915261, 64.97426016210916]"
old_feedback_data,ARX_na3_nb2_nk2_alpha0,3,2,2,0.0,36,85.61905235527155,67.91059448948575,65.3662743533397,65.842945497886,0.953342289092617,"[65.4471239895796, 67.45618046608008, 65.49423548473821, 64.97424205114612]"
old_feedback_data,ARX_na3_nb3_nk2_alpha0.1,3,3,2,0.1,52,85.62602529742516,67.70130527250973,65.12637451159607,65.62812443325456,1.0034998433169715,"[65.17508486089665, 67.33261734756589, 65.26166505634492, 64.74313046821074]"
old_feedback_data,ARX_na3_nb3_nk2_alpha0.01,3,3,2,0.01,52,85.62586315521726,67.7002441437132,65.12495019537937,65.62699308420764,1.0040857776565364,"[65.17331025154714, 67.33234031253798, 65.26133758983595, 64.74098418290953]"
old_feedback_data,ARX_na3_nb3_nk2_alpha0.001,3,3,2,0.001,52,85.6258393829658,67.70013899477242,65.12480610685178,65.62688095106381,1.0041496884240713,"[65.17312883931778, 67.33232160843808, 65.26131101878383, 64.74076233771552]"
old_feedback_data,ARX_na3_nb3_nk2_alpha0,3,3,2,0.0,52,85.62583662589287,67.70012731281284,65.12479006125763,65.62686849266485,1.0041568628144468,"[65.17310862672534, 67.33231964423211, 65.26130811352495, 64.74073758617702]"
