input_set,model,na,nb,nk,alpha,physical_memory_seconds,input_delay_seconds,input_memory_seconds,n_input_cols,n_params,val_FIT_1step,val_FIT_sim,val_block_FIT_sim,val_block_mean_FIT_sim,val_block_std_FIT_sim,val_robust_score
inside_only,ARX_na24_nb3_nk2_alpha1,24,3,2,1.0,480,40,60,19,82,95.32198376180871,76.4119324032759,"[76.37314998424885, 68.09423817902398, 78.3616535533865, 78.85384958978149]",75.4207228266102,4.33070224367897,73.25537170477072
inside_only,ARX_na18_nb6_nk2_alpha1,18,6,2,1.0,360,40,120,19,133,95.5176149696467,79.19236440345422,"[84.05098325005851, 64.0899893112705, 80.5750683335237, 79.06093118164796]",76.94424301912517,7.638731182874929,73.12487742768771
inside_only,ARX_na24_nb6_nk2_alpha1,24,6,2,1.0,480,40,120,19,139,95.51930011455303,79.16019032795323,"[84.26372116130145, 64.08061697914383, 80.26791063578789, 79.03546304956619]",76.91192795644984,7.656099296622101,73.0838783081388
inside_only,ARX_na18_nb6_nk2_alpha0.1,18,6,2,0.1,360,40,120,19,133,95.51841476917625,79.27616889733142,"[84.50113085032358, 63.82092934812891, 80.6760137852531, 79.00366945281435]",77.00043585912998,7.865790410796387,73.06754065373178
inside_only,ARX_na24_nb6_nk2_alpha0.1,24,6,2,0.1,480,40,120,19,139,95.52011360582031,79.25827490903154,"[84.74617031993063, 63.827227863343296, 80.37986349429498, 78.97993774219093]",76.98329985493996,7.887768941742863,73.03941538406852
inside_only,ARX_na24_nb3_nk2_alpha10,24,3,2,10.0,480,40,60,19,82,95.28858526670606,76.09180199929216,"[75.57531059099286, 67.80859911950165, 78.22496601636459, 78.61140109209904]",75.05506920473954,4.343895776996125,72.88312131624147
inside_only,ARX_na12_nb3_nk3_alpha10,12,3,3,10.0,240,60,60,19,70,95.37190826106816,75.66915530923819,"[70.85981348272273, 70.87608899430083, 80.58485246126902, 77.46987011074862]",74.9476562622603,4.225744380915658,72.83478407180246
inside_only,ARX_na18_nb3_nk3_alpha0.1,18,3,3,0.1,360,60,60,19,76,95.40339419271864,74.50376921331411,"[69.97292406598994, 70.30837716079894, 79.55440856719356, 77.88061371708638]",74.4290808777672,4.330692655889013,72.2637345498227
inside_only,ARX_na24_nb3_nk3_alpha0.1,24,3,3,0.1,480,60,60,19,82,95.40533681538382,74.65628518983422,"[70.34635913174702, 69.53188089925774, 79.53970467372474, 77.87805421164144]",74.32399972909273,4.4334216169707785,72.10728892060735
inside_only,ARX_na18_nb3_nk3_alpha1,18,3,3,1.0,360,60,60,19,76,95.40256909652615,73.90246485461738,"[68.65005481419321, 70.27786472753985, 79.37487912890614, 77.94370975956197]",74.0616271075503,4.661093895055762,71.73108016002242
inside_only,ARX_na12_nb3_nk1_alpha1,12,3,1,1.0,240,20,60,19,70,95.16893933110921,75.69317535102762,"[75.41522721054837, 66.32292622496676, 79.11601748341968, 74.94534504307813]",73.94987899050324,4.690351625505702,71.60470317775038
inside_only,ARX_na12_nb3_nk1_alpha10,12,3,1,10.0,240,20,60,19,70,95.1263085005102,75.42934825548538,"[74.88589367750151, 66.7746265495591, 78.36496557107827, 74.88532480731979]",73.72770265136467,4.258255809983488,71.59857474637292
inside_only,ARX_na24_nb3_nk3_alpha1,24,3,3,1.0,480,60,60,19,82,95.40451764301602,74.00107370100348,"[68.90053765263278, 69.45451591250827, 79.34651110968566, 77.93950971129898]",73.91026859653142,4.762841923006525,71.52884763502816
inside_only,ARX_na18_nb3_nk1_alpha10,18,3,1,10.0,360,20,60,19,76,95.12779875777194,75.96371662492645,"[76.82896996177145, 65.5078512697077, 78.10919799793629, 74.94251333948425]",73.84713314222492,4.94469482320536,71.37478573062224
inside_only,ARX_na12_nb3_nk1_alpha0.1,12,3,1,0.1,240,20,60,19,70,95.17124232766089,75.36235614616282,"[74.85370124040483, 66.1730140874614, 79.09925602250162, 74.76001676394115]",73.72149702857725,4.697347552797002,71.37282325217875
inside_only,ARX_na18_nb3_nk1_alpha1,18,3,1,1.0,360,20,60,19,76,95.16991608418928,76.04404481017157,"[77.19792657036339, 64.83870310627134, 78.80367042036292, 74.80436160280432]",73.9111654249505,5.427862744513656,71.19723405269367
inside_only,ARX_na18_nb3_nk3_alpha10,18,3,3,10.0,360,60,60,19,76,95.37557886402102,73.36011911413969,"[67.63351296472064, 69.89984668929883, 79.11281918934944, 77.90116800775783]",73.63683671278169,4.954187520084251,71.15974295273956
inside_only,ARX_na24_nb3_nk1_alpha10,24,3,1,10.0,480,20,60,19,82,95.1294778942555,76.37185883216998,"[78.23967832890457, 64.51605157392943, 77.93382463660116, 74.92767282381763]",73.9043068408132,5.5726805600552085,71.1179665607856
inside_only,ARX_na18_nb3_nk1_alpha0.1,18,3,1,0.1,360,20,60,19,76,95.17214671711247,75.7777553487537,"[76.62240476226472, 64.77514519613506, 78.92606708965914, 74.5307705173511]",73.71359689135251,5.389682278225663,71.01875575223968
inside_only,ARX_na24_nb3_nk1_alpha1,24,3,1,1.0,480,20,60,19,82,95.17172984568815,76.47352188923927,"[78.640050094709, 63.919781921256345, 78.72853359424809, 74.82453306565075]",74.02822466896605,6.045174927100344,71.00563720541588
inside_only,ARX_na24_nb3_nk1_alpha0.1,24,3,1,0.1,480,20,60,19,82,95.1739717690814,76.22088146749124,"[78.07265769382585, 63.90659881521429, 78.86755831794483, 74.56036415631313]",73.85179474582452,5.966208195850317,70.86869064789936
inside_only,ARX_na24_nb3_nk3_alpha10,24,3,3,10.0,480,60,60,19,82,95.37744763382796,73.30760653010779,"[67.67858907621857, 68.91680374334783, 78.98178954663322, 77.8945351505195]",73.36792937917978,5.103594279958626,70.81613223920047
